src_pr,tgt_pr,src_task,tgt_task,agent,language,repo_id,shared_files,overlap_frac,merged_at,stratum
2816233687,2826117544,test,fix,Devin,TypeScript,447150280,2,1.0,2025-01-29 12:53:12+00:00,TypeScript::Devin
2973462661,2974595980,feat,fix,Devin,TypeScript,685141528,1,0.5,2025-04-04 23:13:42+00:00,TypeScript::Devin
3074975479,3074968173,docs,fix,OpenAI_Codex,Python,50448254,2,1.0,2025-05-20 01:02:27+00:00,Python::OpenAI_Codex
3080161730,3084752177,test,fix,OpenAI_Codex,TypeScript,463116412,1,0.3333333333333333,2025-05-21 13:06:30+00:00,TypeScript::OpenAI_Codex
3080995529,3084752177,test,fix,OpenAI_Codex,TypeScript,463116412,1,0.5,2025-05-21 17:59:55+00:00,TypeScript::OpenAI_Codex
3081890975,3100822685,feat,fix,OpenAI_Codex,Python,922805069,2,1.0,2025-05-22 03:01:22+00:00,Python::OpenAI_Codex
3087442688,3087666110,feat,fix,OpenAI_Codex,HTML,23236083,1,0.3333333333333333,2025-05-23 20:15:38+00:00,_other_lang::OpenAI_Codex
3087881536,3088420545,test,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-05-24 01:48:00+00:00,Python::OpenAI_Codex
3089267364,3106109887,docs,fix,OpenAI_Codex,Python,922805069,1,0.3333333333333333,2025-05-25 12:28:29+00:00,Python::OpenAI_Codex
3089418093,3100822685,docs,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-05-25 16:31:43+00:00,Python::OpenAI_Codex
3091174597,3189129380,docs,fix,OpenAI_Codex,Python,922805069,2,0.5,2025-05-26 13:10:19+00:00,Python::OpenAI_Codex
3102336394,3081788219,feat,fix,OpenAI_Codex,Python,650377372,62,0.9841269841269841,2025-06-02 20:39:59+00:00,Python::OpenAI_Codex
3107709736,3107750394,refactor,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-06-01 19:14:15+00:00,Python::OpenAI_Codex
3113159534,3113538195,docs,fix,Copilot,TypeScript,470727349,2,0.6666666666666666,2025-06-03 11:12:36+00:00,TypeScript::Copilot
3117511053,3168790865,feat,fix,OpenAI_Codex,Go,985853139,2,1.0,2025-06-04 11:34:44+00:00,Go::OpenAI_Codex
3119554863,3123445857,docs,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-06-05 01:28:45+00:00,Python::OpenAI_Codex
3128500994,3199894033,feat,fix,OpenAI_Codex,HTML,21764480,1,1.0,2025-06-08 16:22:24+00:00,_other_lang::OpenAI_Codex
3134345357,3115430697,fix,fix,Copilot,C#,63984307,15,1.0,2025-06-13 22:35:12+00:00,_other_lang::Copilot
3134580076,3140527739,feat,fix,Copilot,Go,475909036,9,0.9,2025-06-12 14:27:44+00:00,Go::Copilot
3134862968,3204784695,refactor,fix,Devin,Ruby,955904085,1,1.0,2025-06-10 21:52:20+00:00,_other_lang::Devin
3138256165,3150510293,fix,fix,Copilot,Python,577492459,2,0.5,2025-06-14 00:51:01+00:00,Python::Copilot
3142141619,3151922977,fix,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-06-13 03:34:46+00:00,Python::OpenAI_Codex
3147102674,3147201806,fix,fix,OpenAI_Codex,Go,985853139,1,1.0,2025-06-15 05:03:26+00:00,Go::OpenAI_Codex
3158740931,3174441525,fix,fix,OpenAI_Codex,Go,985853139,54,0.9818181818181818,2025-06-19 03:07:19+00:00,Go::OpenAI_Codex
3159080081,3160011405,fix,fix,OpenAI_Codex,Java,12594924,1,0.3333333333333333,2025-06-19 06:07:33+00:00,_other_lang::OpenAI_Codex
3160799244,3165300275,docs,fix,OpenAI_Codex,Python,922805069,1,0.5,2025-06-19 16:01:27+00:00,Python::OpenAI_Codex
3170195765,3218581048,build,fix,OpenAI_Codex,Go,985853139,19,0.95,2025-06-24 04:34:49+00:00,Go::OpenAI_Codex
3172979634,3242716868,feat,fix,OpenAI_Codex,Go,985853139,2,0.6666666666666666,2025-06-24 19:07:57+00:00,Go::OpenAI_Codex
3176262771,3189129380,docs,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-06-25 16:30:50+00:00,Python::OpenAI_Codex
3177513481,3206778002,feat,fix,OpenAI_Codex,Go,985853139,1,0.3333333333333333,2025-06-26 02:30:35+00:00,Go::OpenAI_Codex
3181595432,3181631113,fix,fix,OpenAI_Codex,Go,985853139,1,1.0,2025-06-27 06:52:49+00:00,Go::OpenAI_Codex
3182255512,3253538190,refactor,fix,Copilot,C#,262395224,7,0.30434782608695654,2025-07-17 03:50:56+00:00,_other_lang::Copilot
3182310048,3187271791,fix,fix,OpenAI_Codex,C++,105010691,1,0.3333333333333333,2025-06-27 10:35:18+00:00,_other_lang::OpenAI_Codex
3187512101,3187985974,refactor,fix,OpenAI_Codex,Go,985853139,1,0.3333333333333333,2025-06-30 07:52:33+00:00,Go::OpenAI_Codex
3188719711,3189254480,feat,fix,OpenAI_Codex,Go,985853139,1,1.0,2025-06-30 14:34:00+00:00,Go::OpenAI_Codex
3191900498,3193703413,feat,fix,Cursor,TypeScript,797216527,4,0.5714285714285714,2025-07-01 12:11:23+00:00,TypeScript::_other_agent
3192292760,3194019168,feat,fix,OpenAI_Codex,Python,922805069,2,1.0,2025-07-01 12:29:25+00:00,Python::OpenAI_Codex
3196363738,3206191347,feat,fix,OpenAI_Codex,Kotlin,600355571,1,0.3333333333333333,2025-07-02 15:47:15+00:00,_other_lang::OpenAI_Codex
3198466819,3199385792,refactor,fix,OpenAI_Codex,HTML,21764480,1,1.0,2025-07-03 08:06:23+00:00,_other_lang::OpenAI_Codex
3203736472,3203904490,docs,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-07-04 21:28:33+00:00,Python::OpenAI_Codex
3204028733,3212656967,chore,fix,OpenAI_Codex,Python,922805069,1,0.3333333333333333,2025-07-05 01:34:39+00:00,Python::OpenAI_Codex
3213724164,3213896610,perf,fix,OpenAI_Codex,C#,744218577,1,1.0,2025-07-08 20:56:08+00:00,_other_lang::OpenAI_Codex
3213985860,3229096395,feat,fix,Cursor,Rust,668493044,5,0.5555555555555556,2025-07-09 16:56:49+00:00,_other_lang::_other_agent
3214386276,3214435240,feat,fix,OpenAI_Codex,Go,985853139,1,1.0,2025-07-09 03:46:57+00:00,Go::OpenAI_Codex
3219513244,3219850150,fix,fix,Cursor,Go,457435290,1,0.5,2025-07-10 14:09:54+00:00,Go::_other_agent
3223299299,3235947868,fix,fix,Devin,Python,577975610,1,1.0,2025-07-11 15:45:13+00:00,Python::Devin
3223703470,3230508229,fix,fix,Cursor,Python,873328,1,1.0,2025-07-11 17:54:41+00:00,Python::_other_agent
3225188672,3226088489,fix,fix,OpenAI_Codex,Go,985853139,1,1.0,2025-07-12 10:51:55+00:00,Go::OpenAI_Codex
3225389334,3227305224,feat,fix,OpenAI_Codex,Java,12670630,2,0.6666666666666666,2025-07-12 13:54:50+00:00,_other_lang::OpenAI_Codex
3226095093,3267245865,feat,fix,OpenAI_Codex,Kotlin,600355571,1,1.0,2025-07-13 04:12:29+00:00,_other_lang::OpenAI_Codex
3244840307,3244866747,feat,fix,Devin,TypeScript,855264010,38,0.8444444444444444,2025-07-21 07:17:46+00:00,TypeScript::Devin
3245314315,3247298334,feat,fix,OpenAI_Codex,Go,985853139,3,0.42857142857142855,2025-07-19 14:14:53+00:00,Go::OpenAI_Codex
3245352566,3246708471,fix,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-07-19 14:42:30+00:00,Python::OpenAI_Codex
3245875725,3247180969,feat,fix,OpenAI_Codex,Go,985853139,3,0.5,2025-07-20 02:47:20+00:00,Go::OpenAI_Codex
3245986350,3247298334,feat,fix,OpenAI_Codex,Go,985853139,2,1.0,2025-07-20 04:47:21+00:00,Go::OpenAI_Codex
3247112621,3251210971,feat,fix,OpenAI_Codex,Go,985853139,2,1.0,2025-07-21 04:07:44+00:00,Go::OpenAI_Codex
3250981359,3252433278,fix,fix,OpenAI_Codex,Python,922805069,2,0.5,2025-07-22 04:24:06+00:00,Python::OpenAI_Codex
3253355776,3260492480,feat,fix,OpenAI_Codex,Go,985853139,1,0.3333333333333333,2025-07-22 16:37:49+00:00,Go::OpenAI_Codex
3271692975,3272204573,feat,fix,OpenAI_Codex,Go,985853139,3,0.5,2025-07-29 01:58:00+00:00,Go::OpenAI_Codex
3275587443,3277873891,ci,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-07-30 03:57:36+00:00,Python::OpenAI_Codex
